keyword,sw
spotlessly,0.7043305126928822
comfortable lounge,0.7037037037037037
extremely happy,0.7037037037037037
really impressed,0.7037037037037037
great experience,0.7032418952618454
personal touches,0.7032258064516129
even provided,0.7029702970297029
phil,0.7029702970297029
staff go,0.7023255813953488
extremely comfy,0.7021276595744681
thoughtfully,0.7021276595744681
magical,0.7018633540372671
enjoyable stay,0.7017828200972447
exceeds,0.7017543859649122
stafford,0.7016949152542373
yummy,0.7012113055181696
amazingly helpful,0.7011494252873564
well cared,0.7007874015748031
large walk,0.7006802721088435
hesitate,0.7006578947368421
amazing place,0.7005988023952096
huge bathroom,0.7
always happy,0.6996996996996997
wonderful room,0.6993464052287581
great service,0.6990788126919141
chocs,0.6989247311827957
negtag_regret,0.6986301369863014
extremely quiet,0.6982456140350877
great shops,0.6981132075471698
perfect hotel,0.6981132075471698
tasty breakfast,0.6977777777777778
anything negative,0.6974789915966386
treasure,0.6973684210526315
amazingly comfortable,0.696969696969697
extremely professional,0.696078431372549
wonderful numbertag,0.696
simona,0.6956521739130435
single member,0.6954314720812182
perfect place,0.6949941792782305
could negtag_fault,0.6949152542372882
slept like,0.6946902654867256
tastefully furnished,0.6946564885496184
top notch,0.6945071482317532
dandelyan,0.6941176470588235
great space,0.6941176470588235
people watch,0.6941176470588235
suit everyone,0.6941176470588235
gorgeous,0.6939782823297137
super efficient,0.6938775510204082
swans,0.6938775510204082
antonio,0.6933333333333334
friendly efficient,0.6932515337423313
pampered,0.6932515337423313
class service,0.6928327645051194
class !,0.6923076923076923
complimentary champagne,0.6923076923076923
every moment,0.6923076923076923
great friendly,0.6923076923076923
levin,0.6923076923076923
staff make,0.6923076923076923
staff always,0.6920289855072463
excellent breakfast,0.6918138041733547
memorable experience,0.6914285714285714
effortless,0.6913580246913579
professional staff,0.6911076443057722
walks along,0.6909090909090909
best shower,0.6907216494845361
provides excellent,0.6907216494845361
big fluffy,0.6904761904761905
friends !,0.6898395721925134
across westminster,0.6896551724137931
cake !,0.6896551724137931
used tube,0.6896551724137931
jasmine,0.6893203883495146
well managed,0.6892430278884463
could need,0.688663282571912
need !,0.6879432624113475
calming,0.6878612716763006
touches like,0.6877828054298643
service excellent,0.6877076411960132
amy,0.6875
complimentary cheese,0.6875
really fantastic,0.6875
enjoy !,0.6870748299319728
stay enjoyable,0.6869565217391305
super modern,0.6867469879518072
great decor,0.6865671641791045
sumptuous,0.6864406779661016
best staff,0.6862745098039216
really welcome,0.6862745098039216
absolutely fantastic,0.6858846918489065
pianist,0.68561872909699
crisp white,0.6855345911949685
martinis,0.6855345911949685
super helpful,0.6855036855036855
anniversary treat,0.6853932584269663
exceptionally helpful,0.6850393700787402
marvelous,0.6850393700787402
needed including,0.6850393700787402
felt welcome,0.6842105263157895
fluffy white,0.6842105263157895
little touch,0.6842105263157895
world go,0.6835443037974683
always made,0.6829268292682927
embankment station,0.6829268292682927
without exception,0.6824644549763034
homey,0.6818181818181818
spotless,0.6816228296372701
warm friendly,0.6814159292035398
favorite hotel,0.6812749003984063
enabled us,0.6811594202898551
free minibar,0.6811594202898551
st. james,0.6810073452256034
exceptional,0.6807271032393382
particularly impressed,0.6806722689075629
perfectly cooked,0.6806722689075629
room great,0.6806722689075629
outstanding,0.6801801801801802
couldnt fault,0.68
makes great,0.68
separate bath,0.68
small gripe,0.68
always smiling,0.6796536796536796
windermere,0.6793893129770993
overlooking citytag,0.6792452830188679
aldgate station,0.6790123456790124
high-quality,0.6790123456790124
exceptionally friendly,0.6784565916398714
excellent food,0.6777996070726916
yum,0.6777777777777778
great value,0.6777560339204175
butlers,0.6774193548387096
fantastic !,0.6774193548387096
good menu,0.6774193548387096
soft towels,0.6774193548387096
! great,0.6772374911909795
next citytag,0.6771300448430493
flawless,0.6770186335403726
walked everywhere,0.6767676767676768
well looked,0.6767676767676768
elegance,0.6763485477178424
really made,0.6760925449871465
hear thing,0.6756756756756757
great room,0.6754221388367729
excellent restaurant,0.6753246753246753
winter garden,0.6753246753246753
buckingham gate,0.675
good find,0.675
indulgence,0.675
kids ate,0.675
top bath,0.675
us perfectly,0.675
really spacious,0.6748768472906403
possibly best,0.6747967479674797
go extra,0.6745406824146981
discreet,0.6743002544529262
great bar,0.6742081447963801
absolutely perfect,0.6741071428571429
simon,0.6740088105726872
also fantastic,0.6737588652482269
great prices,0.6734693877551021
warm welcoming,0.6734693877551021
went beyond,0.6734693877551021
anyone wanting,0.6732673267326733
super comfy,0.6724137931034483
would defo,0.6724137931034483
professional service,0.6723163841807911
concierge team,0.6722222222222223
feast,0.6717948717948717
carnation,0.6714975845410628
beautiful !,0.6713615023474179
andrew,0.6712328767123288
lovely welcome,0.6712328767123288
great bed,0.6708074534161491
talented,0.6705882352941176
pedro,0.6703296703296703
feel special,0.6702127659574468
citytag visits,0.6701030927835051
great staff,0.6690856313497823
received warm,0.6687116564417178
superbly,0.668488160291439
peter,0.6684782608695652
breathtaking,0.6684210526315789
hustle,0.6681943171402384
extremely friendly,0.6675809105869446
great place,0.6669370100027034
bathroom spotless,0.6666666666666666
best customer,0.6666666666666666
citytag trips,0.6666666666666666
fluffy towels,0.6666666666666666
hiccup,0.6666666666666666
overlooking gardens,0.6666666666666666
quintessential,0.6666666666666666
southwark underground,0.6666666666666666
us lovely,0.6666666666666666
amazing,0.6656059897051942
everything needed,0.6655737704918033
bustle,0.6652649285113541
super friendly,0.665080875356803
superb,0.6649601142993213
great bars,0.6647398843930635
delighted,0.6645408163265306
rooms spacious,0.6642335766423357
james,0.6640287769784172
cleverly designed,0.6635514018691588
comment would,0.6633663366336634
friendly welcoming,0.6633663366336634
penny !,0.6633663366336634
negative comment,0.6632653061224489
modern amenities,0.6630434782608695
excellent bar,0.6629213483146067
marta,0.6629213483146067
extremely helpful,0.6622604097818903
even better,0.6622516556291391
great breakfast,0.6621359223300971
friendly atmosphere,0.6621004566210046
niggle,0.6616541353383458
staff makes,0.6615384615384615
red carnation,0.6613756613756614
really comfortable,0.6613272311212814
candles,0.6612021857923497
excellent bathroom,0.660377358490566
elena,0.66
tad small,0.6598639455782312
us happy,0.6598639455782312
charming staff,0.6595744680851063
free snacks,0.6595744680851063
spotless room,0.6595744680851063
delightful,0.6593959731543624
accommodating staff,0.6593886462882096
lovely small,0.6590909090909091
amazing breakfast,0.6585365853658537
spitalfields market,0.6582914572864321
enjoyed hotel,0.6582278481012658
drawing room,0.6581818181818182
homely,0.6580152671755726
sanctuary,0.6577540106951871
great food,0.657331136738056
overall lovely,0.6571428571428571
