keyword,sentiment,sw,,,,,,,,,,
always willing,Positive,0.732057416,,,,,,,,   ,,
amateur,Negetive,-0.88372093,,,,,,,,,,
amazing,Positive,0.66560599,,,,,,,,,,
amazing !,Positive,0.735902926,,,,,,,,,,
amazing breakfast,Positive,0.658536585,,,,,,,,,,
amazing experience,Positive,0.81547619,,,,,,,,,,
amazing food,Positive,0.779069767,,,,,,,,,,
amazing hotel,Positive,0.858695652,,,,,,,,,,
amazing location,Positive,0.403197158,,,,,,,,,,
amazing place,Positive,0.700598802,,,,,,,,,,
amazing room,Positive,0.891304348,,,,,,,,,,
amazing service,Positive,0.864951768,,,,,,,,,,
amazing shower,Positive,0.759259259,,,,,,,,,,
amazing staff,Positive,0.853785901,,,,,,,,,,
amazing stay,Positive,0.903743316,,,,,,,,,,
amazing time,Positive,0.83255814,,,,,,,,,,
amazing value,Positive,0.804123711,,,,,,,,,,
amazing view,Positive,0.64644714,,,,,,,,,,
amazing views,Positive,0.728571429,,,,,,,,,,
amazing.the,Positive,0.725,,,,,,  ,,,,
amazingly,Positive,0.486695279,,,,,,,  ,,,
amazingly comfortable,Positive,0.696969697,,,,,,,,,,
amazingly helpful,Positive,0.701149425,,,,,,,,,,
amazingly quiet,Positive,0.82300885,,,,,,,,,,
among best,Positive,0.620689655,,,,,,,,,,
amongst best,Positive,0.772727273,,,,,,,,,,
anger,Negetive,-0.851851852,,,,,,,,,,
angry,Negetive,-0.887029289,,,,,,,,,,
annoyances,Negetive,-0.627586207,,,,,,,,,,
annoyed,Negetive,-0.746806039,,,,,,,,,,
annoying !,Negetive,-0.661290323,,,,,,,,,,
another great,Positive,0.895384615,,,,,,,,,,
another issue,Negetive,-0.720588235,,,,,,,,,,
another nice,Positive,0.75,,,,,,,,,,
another problem,Negetive,-0.793103448,,,,,,,,,,
another wonderful,Positive,0.951807229,,,,,,,,,,
antiquated,Negetive,-0.763157895,,,,,,,,,,
ants,Negetive,-0.971014493,,,,,,,,,,
anyone wishing,Positive,0.569892473,,,,,,,,,,
apathetic,Negetive,-0.860465116,,,,,,,,,,
appalled,Negetive,-0.941422594,,,,,,,,,,
appalling,Negetive,-0.923160173,,,,,,,,,,
appalling !,Negetive,-0.956989247,,,,,,,,,,
appalling service,Negetive,-0.925925926,,,,,,,,,,
appallingly,Negetive,-0.91011236,,,,,,,,,,
appauling,Negetive,-0.958762887,,,,,,,,,,
appointed hotel,Positive,0.58778626,,,,,,,,,,
appointed room,Positive,0.580357143,,,,,,,,,,
appointed rooms,Positive,0.77124183,,,,,,,,,,
appreciated,Positive,0.423563346,,,,,,,,,,
appreciated !,Positive,0.642857143,,,,,,,,,,
appreciative,Positive,0.278688525,,,,,,,, ,,
argue,Negetive,-0.728715729,,,,,,,,,,
argued,Negetive,-0.909547739,,,,,,,,,,
arguing,Negetive,-0.926027397,,,,,,,,,,
argument,Negetive,-0.846153846,,,,,,,,,,
arguments,Negetive,-0.734513274,,,,,,,,,,
arrogance,Negetive,-0.837398374,,,,,,,,,,
arrogant,Negetive,-0.898959881,,,,,,,,,,
ashamed,Negetive,-0.9,,,,,,,,,,
asthma,Negetive,-0.737556561,,,,,,,,,,
asthmatic,Negetive,-0.741176471,,,,,,,,,,
atrocious,Negetive,-0.858823529,,,,,,,,,,
attacked,Negetive,-0.976470588,,,,,,,,,,
attentive,Positive,0.608723659,,,,,,,,,,
attentive service,Positive,0.62962963,,,,,,,,,,
attentive staff,Positive,0.715846995,,,,,,,,,,
attractively,Positive,0.44,,,,,,,,,,
audacity,Negetive,-0.948717949,,,,,,,,,,
average quality,Negetive,-0.832061069,,,,,,,,,,
average service,Negetive,-0.861386139,,,,,,,,,,
avoid,Negetive,-0.701509607,,,,,,,,,,
avoid !,Negetive,-0.978723404,,,,,,,,,,
avoid avoid,Negetive,-1,,,,,,,,,,
