keyword,sentiment,sw,,,,,,,,,,
cozy hotel,Positive,0.613636364,,,,,,,,,,
crack,Negetive,-0.744,,,,,,,,,,
cracked,Negetive,-0.870318614,,,,,,,,,,
cracked tiles,Negetive,-0.89380531,,,,,,,,,,
cracks,Negetive,-0.891986063,,,,,,,,,,
crammed,Negetive,-0.788819876,,,,,,,,,,
cramp,Negetive,-0.787234043,,,,,,,,,,
cramped room,Negetive,-0.824701195,,,,,,,,,,
cramped rooms,Negetive,-0.681818182,,,,,,,,,,
crap,Negetive,-0.885895404,,,,,,,,,,
crappy,Negetive,-0.758513932,,,,,,,,,,
creaked,Negetive,-0.820330969,,,,,,,,,,
creaking,Negetive,-0.743589744,,,,,,,,,,
creaks,Negetive,-0.75,,,,,,,,,,
creative,Positive,0.343873518,,,,,,,,,,
creepy,Negetive,-0.81547619,,,,,,,,,,
crime,Negetive,-0.816901408,,,,,,,,,,
criminal,Negetive,-0.907894737,,,,,,,,,,
crooked,Negetive,-0.774193548,,,,,,,,,,
crumbs,Negetive,-0.878980892,,,,,,,,,,
crusty,Negetive,-0.648854962,,,,,,,,,,
crying,Negetive,-0.771771772,,,,,,,,,,
curtly,Negetive,-0.882352941,,,,,,,,,,
damage,Negetive,-0.80798005,,,,,,,,,,
damaged,Negetive,-0.891348089,,,,,,,,,,
damages,Negetive,-0.877192982,,,,,,,,,,
damn,Negetive,-0.720496894,,,,,,,,,,
damp,Negetive,-0.903971547,,,,,,,,,,
damp patches,Negetive,-0.979381443,,,,,,,,,,
damp smell,Negetive,-0.838709677,,,,,,,,,,
dampness,Negetive,-0.848739496,,,,,,,,,,
danger,Negetive,-0.744444444,,,,,,,,,,
dangerous,Negetive,-0.842211733,,,,,,,,,,
dangerously,Negetive,-0.813333333,,,,,,,,,,
dank,Negetive,-0.893491124,,,,,,,,,,
dark room,Negetive,-0.738396624,,,,,,,,,,
dated decor,Negetive,-0.765517241,,,,,,,,,,
deactivated,Negetive,-0.775280899,,,,,,,,,,
deaf,Negetive,-0.808510638,,,,,,,,,,
deaf ears,Negetive,-0.91011236,,,,,,,,,,
deafening,Negetive,-0.77443609,,,,,,,,,,
debris,Negetive,-0.838235294,,,,,,,,,,
deceived,Negetive,-0.906542056,,,,,,,,,,
deceiving,Negetive,-0.832727273,,,,,,,,,,
deceptive,Negetive,-0.694915254,,,,,,,,,,
decline,Negetive,-0.661375661,,,,,,,,,,
decorated room,Positive,0.418367347,,,,,,,,,,
decorated rooms,Positive,0.512195122,,,,,,,,,,
decrepit,Negetive,-0.950617284,,,,,,,,,,
def stay,Positive,0.851851852,,,,,,,,,,
defective,Negetive,-0.878787879,,,,,,,,,,
defensive,Negetive,-0.931506849,,,,,,,,,,
defiantly recommend,Positive,0.933884298,,,,,,,,,,
defiantly stay,Positive,0.939698492,,,,,,,,,,
definately recommend,Positive,0.908196721,,,,,,,,,,
definately return,Positive,0.942857143,,,,,,,,,,
definately stay,Positive,0.865838509,,,,,,,,,,
definetly stay,Positive,0.866666667,,,,,,,,,,
definitely best,Positive,0.584615385,,,,,,,,,,
definitely book,Positive,0.897887324,,,,,,,,,,
definitely come,Positive,0.908675799,,,,,,,,,,
definitely coming,Positive,0.920792079,,,,,,,,,,
definitely good,Positive,0.365517241,,,,,,,,,,
definitely great,Positive,0.6,,,,,,,,,,
definitely need,Negetive,-0.710144928,,,,,,,,,,
definitely needs,Negetive,-0.832258065,,,,,,,,,,
definitely negtag_recommend,Negetive,-0.976190476,,,,,,,,,,
definitely negtag_stay,Negetive,-0.986206897,,,,,,,,,,
definitely negtag_worth,Negetive,-0.944751381,,,,,,,,,,
definitely recommend,Positive,0.895365602,,,,,,,,,,
definitely recommended,Positive,0.80952381,,,,,,,,,,
definitely return,Positive,0.943716268,,,,,,,,,,
definitely stay,Positive,0.909099795,,,,,,,,,,
definitely visit,Positive,0.910179641,,,,,,,,,,
definitely worth,Positive,0.656296296,,,,,,,,,,
delicious,Positive,0.746691009,,,,,,,,,,
delicious food,Positive,0.776315789,,,,,,,,,,
delight,Positive,0.650246305,,,,,,,,,,
delighted,Positive,0.664540816,,,,,,,,,,
delightful,Positive,0.659395973,,,,,,,,,,
delightful hotel,Positive,0.804878049,,,,,,,,,,
delightfully,Positive,0.615384615,,,,,,,,,,
delights,Positive,0.330578512,,,,,,,,,,
deluxe suite,Positive,0.3,,,,,,,,,,
denied,Negetive,-0.926829268,,,,,,,,,,
dented,Negetive,-0.775280899,,,,,,,,,,
deny,Negetive,-0.690909091,,,,,,,,,,
depressed,Negetive,-0.840707965,,,,,,,,,,
depressing,Negetive,-0.878737542,,,,,,,,,,
derelict,Negetive,-0.720430108,,,,,,,,,,
deserves special,Positive,0.586206897,,,,,,,,,,
desperate,Negetive,-0.858447489,,,,,,,,,,
desperate need,Negetive,-0.923076923,,,,,,,,,,
desperately,Negetive,-0.813380282,,,,,,,,,,
desperately needed,Negetive,-0.88372093,,,,,,,,,,
desperately needs,Negetive,-0.869158879,,,,,,,,,,
desperation,Negetive,-0.675,,,,,,,,,,
despite asking,Negetive,-0.785714286,,,,,,,,,,
despite paying,Negetive,-0.895652174,,,,,,,,,,
destroyed,Negetive,-0.865671642,,,,,,,,,,
deteriorated,Negetive,-0.893333333,,,,,,,,,,
diabolical,Negetive,-0.908496732,,,,,,,,,,
dilapidated,Negetive,-0.882352941,,,,,,,,,,
dingy,Negetive,-0.881791045,,,,,,,,,,
dingy room,Negetive,-0.926829268,,,,,,,,,,
dire,Negetive,-0.849405548,,,,,,,,,,
dire need,Negetive,-0.957559682,,,,,,,,,,
dirt,Negetive,-0.900753769,,,,,,,,,,
dirtier,Negetive,-0.927272727,,,,,,,,,,
dirtiest,Negetive,-0.971631206,,,,,,,,,,
dirty,Negetive,-0.937933656,,,,,,,,,,
dirty !,Negetive,-0.973333333,,,,,,,,,,
dirty bathroom,Negetive,-0.975308642,,,,,,,,,,
dirty bed,Negetive,-1,,,,,,,,,,
dirty carpet,Negetive,-0.978873239,,,,,,,,,,
dirty carpets,Negetive,-0.992481203,,,,,,,,,,
dirty cups,Negetive,-0.803030303,,,,,,,,,,
dirty dishes,Negetive,-0.831325301,,,,,,,,,,
dirty floor,Negetive,-0.951219512,,,,,,,,,,
dirty glasses,Negetive,-0.697841727,,,,,,,,,,
dirty hotel,Negetive,-0.957894737,,,,,,,,,,
dirty laundry,Negetive,-0.789473684,,,,,,,,,,
dirty looking,Negetive,-0.965217391,,,,,,,,,,
dirty marks,Negetive,-0.913669065,,,,,,,,,,
dirty plates,Negetive,-0.670103093,,,,,,,,,,
dirty room,Negetive,-0.965116279,,,,,,,,,,
dirty rooms,Negetive,-0.905263158,,,,,,,,,,
dirty sheets,Negetive,-0.968253968,,,,,,,,,,
dirty shower,Negetive,-1,,,,,,,,,,
dirty toilet,Negetive,-0.952380952,,,,,,,,,,
dirty towel,Negetive,-0.931034483,,,,,,,,,,
dirty towels,Negetive,-0.915057915,,,,,,,,,,
dirty walls,Negetive,-0.972222222,,,,,,,,,,
dirty water,Negetive,-0.939849624,,,,,,,,,,
dirty windows,Negetive,-0.932773109,,,,,,,,,,
dirty.the,Negetive,-0.951219512,,,,,,,,,,
disapointing,Negetive,-0.661016949,,,,,,,,,,
disappointing,Negetive,-0.694252116,,,,,,,,,,
disappointing !,Negetive,-0.823529412,,,,,,,,,,
disappointing experience,Negetive,-0.935294118,,,,,,,,,,
disappointing stay,Negetive,-0.933842239,,,,,,,,,,
disappointment !,Negetive,-0.795620438,,,,,,,,,,
disaster,Negetive,-0.812286689,,,,,,,,,,
disaster !,Negetive,-0.892857143,,,,,,,,,,
discoloured,Negetive,-0.85840708,,,,,,,,,,
discomfort,Negetive,-0.6492891,,,,,,,,,,
disconnect,Negetive,-0.659574468,,,,,,,,,,
disconnected,Negetive,-0.75,,,,,,,,,,
disconnecting,Negetive,-0.707317073,,,,,,,,,,
discourage,Negetive,-0.737373737,,,,,,,,,,
discuss,Negetive,-0.741007194,,,,,,,,,,
discusting,Negetive,-0.965811966,,,,,,,,,,
disease,Negetive,-0.711864407,,,,,,,,,,
disgrace,Negetive,-0.981176471,,,,,,,,,,
disgraceful,Negetive,-0.986547085,,,,,,,,,,
disgruntled,Negetive,-0.735099338,,,,,,,,,,
disgust,Negetive,-0.944444444,,,,,,,,,,
disgusted,Negetive,-0.962085308,,,,,,,,,,
disgusting,Negetive,-0.966376812,,,,,,,,,,
disgusting !,Negetive,-0.985365854,,,,,,,,,,
disgusting hotel,Negetive,-0.958762887,,,,,,,,,,
disgusting place,Negetive,-1,,,,,,,,,,
disgustingly,Negetive,-0.967914439,,,,,,,,,,
dishonest,Negetive,-0.958762887,,,,,,,,,,
disinterested,Negetive,-0.891390728,,,,,,,,,,
dismal,Negetive,-0.783333333,,,,,,,,,,
dismay,Negetive,-0.808219178,,,,,,,,,,
dismissive,Negetive,-0.907090465,,,,,,,,,,
disorganised,Negetive,-0.649890591,,,,,,,,,,
displeasure,Negetive,-0.844311377,,,,,,,,,,
dispute,Negetive,-0.816326531,,,,,,,,,,
disregard,Negetive,-0.88,,,,,,,,,,
disrepair,Negetive,-0.903614458,,,,,,,,,,
disrespectful,Negetive,-0.91588785,,,,,,,,,,
dissapointing,Negetive,-0.747058824,,,,,,,,,,
dissatisfaction,Negetive,-0.870588235,,,,,,,,,,
dissatisfied,Negetive,-0.85046729,,,,,,,,,,
distressed,Negetive,-0.913043478,,,,,,,,,,
disturbed night,Negetive,-0.634146341,,,,,,,,,,
disturbed sleep,Negetive,-0.729166667,,,,,,,,,,
dodgy,Negetive,-0.702770781,,,,,,,,,,
door banging,Negetive,-0.708333333,,,,,,,,,,
door slamming,Negetive,-0.691358025,,,,,,,,,,
door without,Negetive,-0.854545455,,,,,,,,,,
doors banging,Negetive,-0.715481172,,,,,,,,,,
doors slamming,Negetive,-0.754266212,,,,,,,,,,
doubt worst,Negetive,-1,,,,,   ,,,,,
downgrade,Negetive,-0.75257732,,,,,,,,,,
downhill,Negetive,-0.894736842,,,,,,,,,,
downright rude,Negetive,-0.907407407,,,,,,,,,,
drab,Negetive,-0.78313253,,,,,,,,,,
drafty,Negetive,-0.768240343,,,,,,,,,,
draughty,Negetive,-0.737089202,,,,,,,,,,
dread,Negetive,-0.849740933,,,,,,,,,,
dreaded,Negetive,-0.62962963,,,,,,,,,,
dreadful,Negetive,-0.822580645,,,,,,,,,,
dreadful experience,Negetive,-0.85,,,,,,,,,,
dreary,Negetive,-0.738317757,,,,,,,,,,
dribble,Negetive,-0.823529412,,,,,,,,,,
dribbled,Negetive,-0.95,,,,,,,,,,
drill,Negetive,-0.8,,,,,,,,,,
drilling,Negetive,-0.819918145,,,,,,,,,,
drills,Negetive,-0.795454545,,,,,,,,,,
drip,Negetive,-0.759615385,,,,,,,,,,
dripped,Negetive,-0.91160221,,,,,,,,,,
dripping,Negetive,-0.794947994,,,,,,,,,,
drips,Negetive,-0.9,,,,,,,,,,
droppings,Negetive,-0.918367347,,,,,,,,,,
dull,Negetive,-0.666274971,,,,,,,,,,
dumb,Negetive,-0.666666667,,,,,,,,,,
dump,Negetive,-0.852392539,,,,,,,,,,
dump !,Negetive,-0.984848485,,,,,,,,,,
dumped,Negetive,-0.764350453,,,,,,,,,,
dumping,Negetive,-0.707317073,,,,,,,,,,
dust,Negetive,-0.862934363,,,,,,,,,,
dust everywhere,Negetive,-0.988888889,,,,,,,,,,
dusty,Negetive,-0.870704718,,,,,,,,,,
easily accessed,Positive,0.589285714,,,,,,,,,,
easily accessible,Positive,0.431556949,,,,,,,,,,
easily reached,Positive,0.348148148,,,,,,,,,,
easily walk,Positive,0.458966565,,,,,,,,,,
easily walkable,Positive,0.569892473,,,,,,,,,,
easy !,Positive,0.648,,,,,,,,,,
easy check,Positive,0.55859375,,,,,,  ,,,,
easy check-in,Positive,0.534482759,,,,,,,,,,
easy transport,Positive,0.459016393,,,,,,,,,,
eat free,Positive,0.624277457,,,,,,,,,,
efficient check,Positive,0.355371901,,,,,,,,,,
efficient check-in,Positive,0.433962264,,,,,,,,,,
efficient reception,Positive,0.425742574,,,,,,,,,,
efficient service,Positive,0.552631579,,,,,,,,,,
efficient staff,Positive,0.642857143,,,,,,,,,,
efficiently run,Positive,0.512195122,,,,,,,,,,
elegance,Positive,0.676348548,,,,,,,,,,
elegant,Positive,0.630052724,,,,,,,,,,
elegant hotel,Positive,0.619834711,,,,,,,,,,
elegantly,Positive,0.705263158,,,,,,,,,,
elsewhere next,Negetive,-0.830508475,,,,,,,,,,
embarrassed,Negetive,-0.802575107,,,,,,,,,,
embarrassing,Negetive,-0.72875817,,,,,,,,,,
embarrassment,Negetive,-0.759162304,,,,,,,,,,
endure,Negetive,-0.782101167,,,,,,,,,,
endured,Negetive,-0.75,,,,,,,,,,
enemy,Negetive,-0.944186047,,,,,,,,,,
enjoy !,Positive,0.68707483,,,,,,,,,,
enjoyable,Positive,0.595879556,,,,,,,  ,,,
enjoyable experience,Positive,0.536585366,,,,,,,,,,
enjoyable stay,Positive,0.70178282,,,,,,,,,,
enjoyed,Positive,0.6023536,,,,,,  ,,,,
enjoyed afternoon,Positive,0.826086957,,,,,,,,,,
enjoyed breakfast,Positive,0.593406593,,,,,,,,,,
enjoyed every,Positive,0.966666667,,,,,,,,,,
enjoyed experience,Positive,0.580645161,,,,,,,,,,
enjoyed food,Positive,0.612903226,,,,,,,,,,
enjoyed great,Positive,0.642857143,,,,,,,,,,
enjoyed hotel,Positive,0.658227848,,,,,,,,,,
enjoyed lovely,Positive,0.770491803,,,,,,,,,,
enjoyed numbertag,Positive,0.791304348,,,,,,,,,,
enjoyed stay,Positive,0.50997151,,,,,,,,,,
enjoyed staying,Positive,0.568306011,,,,,,,,,,
enjoyed wonderful,Positive,0.826086957,,,,,,,,,,
equipped kitchen,Positive,0.59375,,,,,,,,,,
equipped room,Positive,0.575757576,,,,,,,,,,
equipped rooms,Positive,0.53968254,,,,,,,,,,
errors,Negetive,-0.722419929,,,,,,,,,,
escaped,Negetive,-0.731958763,,,,,,,,,,
especially breakfast,Positive,0.316129032,,,,,,,,,,
especially enjoyed,Positive,0.858267717,,,,,,,,,,
especially good,Positive,0.647058824,,,,,,,,,,
especially helpful,Positive,0.751937984,,,,,,,,,,
especially liked,Positive,0.747474747,,,,,,,,,,
especially loved,Positive,0.911111111,,,,,,,,,,
even bother,Negetive,-0.845410628,,,,,,,,,,
even smaller,Negetive,-0.724390244,,,,,,,,,,
even worse,Negetive,-0.898389095,,,,,,,,,,
eventually,Negetive,-0.780838879,,,,,,,,,,
eventually arrived,Negetive,-0.834586466,,,,,,,,,,
eventually came,Negetive,-0.814814815,,,,,,,,,,
eventually gave,Negetive,-0.844444444,,,,,,,,,,
eventually given,Negetive,-0.820224719,,,,,,,,,,
eventually got,Negetive,-0.827751196,,,,,,,,,,
every noise,Negetive,-0.887850467,,,,,,,,,,
everything clean,Positive,0.5,,,,,,,,,,
excelent,Positive,0.56557377,,,,,,,,,,
excellant,Positive,0.434554974,,,,,,,,,,
excelled,Positive,0.860465116,,,,,,,,,,
excellence,Positive,0.425867508,,,,,,,,,,
excellent,Positive,0.556132361,,,,,,,,,,
excellent-,Positive,0.456790123,,,,,,,,,,
excellent !,Positive,0.562945368,,,,,,,,,,
excellent access,Positive,0.395348837,,,,,,,,,,
excellent bar,Positive,0.662921348,,,,,,,,,,
excellent base,Positive,0.624365482,,,,,,,,,,
excellent bathroom,Positive,0.660377358,,,,,,,,,,
excellent bed,Positive,0.584,,,,,,,,,,
excellent breakfast,Positive,0.691813804,,,,,,,,,,
excellent buffet,Positive,0.71875,,,,,,,,,,
excellent central,Positive,0.276595745,,,,,,,,,,
excellent choice,Positive,0.834992888,,,,,,,,,,
excellent coffee,Positive,0.567567568,,,,,,,,,,
excellent condition,Positive,0.833333333,,,,,,,,,,
excellent customer,Positive,0.63599182,,,,,,,,,,
excellent deal,Positive,0.604395604,,,,,,,,,,
excellent experience,Positive,0.848920863,,,,,,,,,,
excellent facilities,Positive,0.858974359,,,,,,,,,,
excellent food,Positive,0.677799607,,,,,,,,,,
excellent friendly,Positive,0.811764706,,,,,,,,,,
excellent hotel,Positive,0.861865407,,,,,,,,,,
excellent job,Positive,0.48,,,,,,,,,,
excellent location,Positive,0.336112559,,,,,,,,,,
excellent night,Positive,0.653061224,,,,,,,,,,
excellent nights,Positive,0.711538462,,,,,,,,,,
excellent numbertag,Positive,0.603773585,,,,,,,,,,
excellent place,Positive,0.754768392,,,,,,,,,,
excellent position,Positive,0.308056872,,,,,,,,,,
excellent price,Positive,0.607142857,,,,,,,,,,
excellent quality,Positive,0.744897959,,,,,,,,,,
excellent rating,Positive,0.493975904,,,,,,,,,,
excellent reception,Positive,0.595505618,,,,,,,,,,
excellent restaurant,Positive,0.675324675,,,,,,,,,,
excellent restaurants,Positive,0.598425197,,,,,,,,,,
excellent room,Positive,0.813186813,,,,,,,,,,
excellent rooms,Positive,0.820224719,,,,,,,,,,
excellent selection,Positive,0.728395062,,,,,,,,,,
excellent service,Positive,0.753651796,,,,,,,,,,
excellent shower,Positive,0.560240964,,,,,,,,,,
excellent staff,Positive,0.746130031,,,,,,,,,,
excellent standard,Positive,0.789473684,,,,,,,,,,
excellent stay,Positive,0.926767677,,,,,,,,,,
excellent throughout,Positive,0.74,,,,,,,,,,
excellent transport,Positive,0.496296296,,,,,,,,,,
excellent value,Positive,0.777690185,,,,,,,,,,
excellent view,Positive,0.607361963,,,,,,,,,,
excellent views,Positive,0.61589404,,,,,,,,,,
excellent wifi,Positive,0.610619469,,,,,,,,,,
excellent.the,Positive,0.492647059,,,,,,,,,,
excellently,Positive,0.415053763,,,,,,,,,,
exceptional !,Positive,0.786885246,,,,,,,,,,
exceptional service,Positive,0.785915493,,,,,,,,,,
exceptional staff,Positive,0.893617021,,,,,,,,,,
exceptional value,Positive,0.829787234,,,,,,,,,,
exceptionally clean,Positive,0.75147929,,,,,,,,,,
exceptionally comfortable,Positive,0.538461538,,,,,,,,,,
exceptionally friendly,Positive,0.678456592,,,,,,,,,,
exceptionally good,Positive,0.627906977,,,,,,,,,,
exceptionally helpful,Positive,0.68503937,,,,,,,,,,
exceptionally small,Negetive,-0.791666667,,,,,,,,,,
exceptionally well,Positive,0.62962963,,,,,,,,,,
excuse,Negetive,-0.711196911,,,,,,,,,,
exellent,Positive,0.482517483,,,,,,,,,,
exemplary,Positive,0.721238938,,,,,,,,,,
expect better,Negetive,-0.839779006,,,,,,,,,,
expect much,Negetive,-0.66835443,,,,,,,,,,
expected better,Negetive,-0.829145729,,,,,,,,,,
expensive room,Negetive,-0.654545455,,,,,,,,,,
expertly,Positive,0.714285714,,,,,,,,,,
expired,Negetive,-0.794871795,,,,,,,,,,
exquisite,Positive,0.844020797,,,,,,,,,,
extra special,Positive,0.827956989,,,,,,,,,,
extremely accommodating,Positive,0.781021898,,,,,,,,,,
extremely attentive,Positive,0.805555556,,,,,,,,,,
extremely clean,Positive,0.743119266,,,,,,,,,,
extremely cold,Negetive,-0.755725191,,,,,,,,,,
extremely comfortable,Positive,0.766806723,,,,,,,,,,
extremely comfy,Positive,0.70212766,,,,,,,,,,
extremely convenient,Positive,0.350877193,,,,,,,,,,
extremely courteous,Positive,0.741573034,,,,,,,,,,
extremely cramped,Negetive,-0.855670103,,,,,,,,,,
extremely dated,Negetive,-0.956521739,,,,,,,,,,
extremely difficult,Negetive,-0.666666667,,,,,,,,,,
extremely dirty,Negetive,-1,,,,,,,,,,
extremely disappointed,Negetive,-0.930735931,,,,,,,,,,
extremely disappointing,Negetive,-0.905263158,,,,,,,,,,
extremely efficient,Positive,0.766081871,,,,,,,,,,
extremely friendly,Positive,0.667580911,,,,,,,,,,
extremely good,Positive,0.545081967,,,,,,,,,,
extremely happy,Positive,0.703703704,,,,,,,,,,
extremely hard,Negetive,-0.642105263,,,,,,,,,,
extremely helpful,Positive,0.66226041,,,,,,,,,,
extremely hot,Negetive,-0.717138103,,,,,,,,,,
extremely impressed,Positive,0.835820896,,,,,,,,,,
extremely kind,Positive,0.652892562,,,,,,,,,,
extremely limited,Negetive,-0.811320755,,,,,,,,,,
extremely loud,Negetive,-0.811688312,,,,,,,,,,
extremely nice,Positive,0.351351351,,,,,,,,,,
extremely noisy,Negetive,-0.860544218,,,,,,,,,,
extremely overpriced,Negetive,-0.703703704,,,,,,,,,,
extremely pleasant,Positive,0.539295393,,,,,,,,,,
extremely pleased,Positive,0.813559322,,,,,,,,,,
extremely polite,Positive,0.574358974,,,,,,,,,,
extremely poor,Negetive,-0.933884298,,,,,,,,,,
extremely professional,Positive,0.696078431,,,,,,,,,,
extremely quiet,Positive,0.698245614,,,,,,,,,,
extremely reasonable,Positive,0.505376344,,,,,,,,,,
extremely rude,Negetive,-0.959527825,,,,,,,,,,
extremely slow,Negetive,-0.691729323,,,,,,,,,,
extremely small,Negetive,-0.769633508,,,,,,,,,,
extremely spacious,Positive,0.71641791,,,,,,,,,,
extremely thin,Negetive,-0.977777778,,,,,,,,,,
extremely tiny,Negetive,-0.8,,,,,,,,,,
extremely tired,Negetive,-0.857142857,,,,,,,,,,
extremely uncomfortable,Negetive,-0.939226519,,,,,,,,,,
extremely unhelpful,Negetive,-0.982608696,,,,,,,,,,
extremely welcoming,Positive,0.767955801,,,,,,,,,,
extremely well,Positive,0.643207856,,,,,,,,,,
fab,Positive,0.552948637,,,,,,,,,,
fab !,Positive,0.570093458,,,,,,,,,,
fab hotel,Positive,0.847328244,,,,,,,,,,
fab location,Positive,0.433121019,,,,,,,,,,
fabulous,Positive,0.651123596,,,,,,,,,,
fabulous !,Positive,0.739130435,,,,,,,,,,
fabulous breakfast,Positive,0.773913043,,,,,,,,,,
fabulous hotel,Positive,0.887058824,,,,,,,,,,
fabulous location,Positive,0.373134328,,,,,,,,,,
fabulous room,Positive,0.801980198,,,,,,,,,,
fabulous service,Positive,0.804878049,,,,,,,,,,
fabulous staff,Positive,0.840909091,,,,,,,,,,
fabulous stay,Positive,0.931034483,,,,,,,,,,
fabulous time,Positive,0.8,,,,,,,,,,
fabulous view,Positive,0.609375,,,,,,,,,,
fabulous views,Positive,0.612244898,,,,,,,,,,
fabulously,Positive,0.625,,,,,,,,,,
faeces,Negetive,-0.9,,,,,,,,,,
fag,Negetive,-0.966386555,,,,,,,,,,
failed,Negetive,-0.752247752,,,,,,,,,,
failing,Negetive,-0.728476821,,,,,,,,,,
fails,Negetive,-0.837209302,,,,,,,,,,
failure,Negetive,-0.723076923,,,,,,,,,,
fake,Negetive,-0.70212766,,,,,,,,,,
falling apart,Negetive,-0.930501931,,,,,,,,,,
false advertising,Negetive,-0.942857143,,,,,,,,,,
false alarm,Negetive,-0.765567766,,,,,,,,,,
fantastic,Positive,0.593898218,,,,,,,,,,
fantastic !,Positive,0.677419355,,,,,,,,,,
fantastic breakfast,Positive,0.710037175,,,,,,,,,,
fantastic choice,Positive,0.810526316,,,,,,,,,,
fantastic experience,Positive,0.871621622,,,,,,,,,,
fantastic food,Positive,0.768595041,,,,,,,,,,
fantastic hotel,Positive,0.884816754,,,,,,,,,,
fantastic location,Positive,0.368556701,,,,,,,,,,
fantastic place,Positive,0.789029536,,,,,,,,,,
fantastic room,Positive,0.785714286,,,,,,,,,,
fantastic service,Positive,0.853785901,,,,,,,,,,
fantastic shower,Positive,0.714285714,,,,,,,,,,
fantastic staff,Positive,0.851612903,,,,,,,,,,
fantastic stay,Positive,0.904458599,,,,,,,,,,
fantastic time,Positive,0.792792793,,,,,,,,,,
fantastic value,Positive,0.813333333,,,,,,,,,,
fantastic view,Positive,0.634703196,,,,,,,,,,
fantastic views,Positive,0.620879121,,,,,,,,,,
fantastic weekend,Positive,0.725806452,,,,,,,,,,
fantastically,Positive,0.529761905,,,,,,,,,,
far best,Positive,0.790780142,,,,,,,,,,
far worse,Negetive,-0.659574468,,,,,,,,,,
far worst,Negetive,-0.986949429,,,,,,,,,,
farce,Negetive,-0.963855422,,,,,,,,,,
fascinating,Positive,0.614349776,,,,,,,,,,
fast wifi,Positive,0.466101695,,,,,,,,,,
faultless,Positive,0.721603563,,,,,,,,,,
faulty,Negetive,-0.771823682,,,,,,,,,,
favorite,Positive,0.579421222,,,,,,,,,,
favorite hotel,Positive,0.6812749,,,,,,,,,,
favorite part,Positive,0.5,,,,,,,,,,
favourite,Positive,0.569567045,,,,,,,,,,
favourite citytag,Positive,0.656716418,,,,,,,,,,
favourite hotel,Positive,0.644444444,,,,,,,,,,
favourite hotels,Positive,0.610169492,,,,,,,,,,
favourite part,Positive,0.407407407,,,,,,,,,,
favourite place,Positive,0.726315789,,,,,,,,,,
favourites,Positive,0.56424581,,,,,,,,,,
feel bad,Negetive,-0.695652174,,,,,,,,,,
feel relaxed,Positive,0.638554217,,,,,,,,,,
feel right,Positive,0.652173913,,,,,,,,,,
feel sorry,Negetive,-0.811594203,,,,,,,,,,
feel special,Positive,0.670212766,,,,,,,,,,
feel springs,Negetive,-0.792682927,,,,,,,,,,
feel welcome,Positive,0.53,,,,,,,,,,
feel welcomed,Positive,0.392265193,,,,,,,,,,
feels safe,Positive,0.282051282,,,,,,,,,,
fell apart,Negetive,-0.930232558,,,,,,,,,,
fell short,Negetive,-0.883333333,,,,,,,,,,
felt claustrophobic,Negetive,-0.844827586,,,,,,,,,,
felt comfortable,Positive,0.445086705,,,,,,,,,,
felt dirty,Negetive,-0.986577181,,,,,,,,,,
felt uncomfortable,Negetive,-0.679389313,,,,,,,,,,
felt unsafe,Negetive,-0.884892086,,,,,,,,,,
felt welcome,Positive,0.684210526,,,,,,,,,,
fiasco,Negetive,-0.80952381,,,,,,,,,,
fighting,Negetive,-0.755813953,,,,,,,,,,
filth,Negetive,-0.986754967,,,,,,,,,,
filthy,Negetive,-0.978700745,,,,,,,,,,
filthy !,Negetive,-0.952,,,,,,,,,,
filthy dirty,Negetive,-0.976190476,,,,,,,,,,
final straw,Negetive,-0.97752809,,,,,,,,,,
finally came,Negetive,-0.815602837,,,,,,,,,,
finally checked,Negetive,-0.777777778,,,,,,,,,,
finally managed,Negetive,-0.826771654,,,,,,,,,,
finest,Positive,0.529113924,,,,,,,,,,
first class,Positive,0.723931624,,,,,,,,,,
first problem,Negetive,-0.943925234,,,,,,,,,,
first rate,Positive,0.720524017,,,,,,,,,,
flaking,Negetive,-0.899082569,,,,,,,,,,
flawless,Positive,0.677018634,,,,,,,,,,
flea,Negetive,-0.710144928,,,,,,,,,,
fleas,Negetive,-1,,,,,,,,,,
flies,Negetive,-0.844011142,,,,,,,,,,
flimsy,Negetive,-0.842931937,,,,,,,,,,
flooded bathroom,Negetive,-0.777777778,,,,,,,,,,
fob,Negetive,-0.693989071,,,,,,,,,,
fobbed,Negetive,-0.913461538,,,,,,,,,,
food delicious,Positive,0.801980198,,,,,,,,,,
food great,Positive,0.707865169,,,,,,,,,,
food poisoning,Negetive,-0.723404255,,,,,,,,,,
fool,Negetive,-0.673469388,,,,,,,,,,
fooled,Negetive,-0.836289222,,,,,,,,,,
forbid,Negetive,-0.694117647,,,,,,,,,,
forced,Negetive,-0.730434783,,,,,,,,,,
forcing,Negetive,-0.740540541,,,,,,,,,,
formal complaint,Negetive,-0.941176471,,,,,,,,,,
fortunate enough,Positive,0.5215311,,,,,,,,,,
foul,Negetive,-0.875,,,,,,,,,,
foul smell,Negetive,-0.934065934,,,,,,,,,,
found great,Positive,0.305389222,,,,,,,,,,
found hair,Negetive,-0.811320755,,,,,,,,,,
fraud,Negetive,-0.911330049,,,,,,,,,,
fraudulent,Negetive,-0.951219512,,,,,,,,,,
frayed,Negetive,-0.82767624,,,,,,,,,,
fraying,Negetive,-0.902439024,,,,,,,,,,
,,,,,,,,,,,,
free laundry,Positive,0.452380952,,,,,,,,,,
